name	season
同居人はひざ、時々、頭のうえ。	2019年冬
五等分の花嫁	2019年冬
八月のシンデレラナイン	2019年春
MIX	2019年春
Fate/Grand Order -絶対魔獣戦線バビロニア-	2019年秋
おこしやす、ちとせちゃん	2018年秋
アニマエール！	2018年秋
文豪ストレイドッグス (第3期)	2019年春
魔法少女特殊戦あすか	2019年冬
えんどろ～！	2019年冬
この音とまれ！	2019年春
B-PROJECT～絶頂＊エモーション～	2019年冬
ドメスティックな彼女	2019年冬
蜘蛛ですが、なにか？	2021年冬
第501統合戦闘航空団 ストライクウィッチーズ ROAD to BERLIN	2020年秋
ストライクウィッチーズ 501部隊発進しますっ！	2019年春
アイドリッシュセブン Second BEAT!	2020年秋
ゾンビランドサガ	2018年秋
Re:ステージ！ ドリームデイズ♪	2019年夏
ピアノの森 第2シリーズ	2019年冬
宇宙戦艦ティラミスII	2018年秋
逆転裁判 ～その「真実」、異議あり！～ Season2	2018年秋
オコジョとヤマネ	2018年夏
真夜中のオカルト公務員	2019年春
人外さんの嫁	2018年秋
不機嫌なモノノケ庵 續	2019年冬
ジョジョの奇妙な冒険 黄金の風	2018年秋
3D彼女 リアルガール 第2シーズン	2019年冬
私に天使が舞い降りた！	2019年冬
ひもてはうす	2018年秋
東京喰種トーキョーグール:re 最終章	2018年秋
とある魔術の禁書目録III	2018年秋
ぱすてるメモリーズ	2019年冬
じょしおちっ！～2階から女の子が…降ってきた!?～	2018年夏
鬼滅の刃	2019年春
風が強く吹いている	2018年秋
ガーリー・エアフォース	2019年冬
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜	2019年冬
約束のネバーランド	2019年冬
Back Street Girls -ゴクドルズ-	2018年夏
ゴブリンスレイヤー	2018年秋
消滅都市	2019年春
上野さんは不器用	2019年冬
ナカノヒトゲノム【実況中】	2019年夏
推しが武道館いってくれたら死ぬ	2020年冬
殺戮の天使	2018年夏
アンゴルモア 元寇合戦記	2018年夏
BanG Dream! 3rd Season	2020年冬
悪偶 ‐天才人形‐	2018年夏
CONCEPTION	2018年秋
あんさんぶるスターズ！	2019年夏
Free!-Dive to the Future-	2018年夏
ユリシーズ ジャンヌ・ダルクと錬金の騎士	2018年秋
群青のマグメル	2019年春
やがて君になる	2018年秋
FAIRY TAIL ファイナルシリーズ	2018年秋
異世界チート魔術師	2019年夏
俺が好きなのは妹だけど妹じゃない	2018年秋
モブサイコ100 II	2019年冬
学園BASARA	2018年秋
深夜！天才バカボン	2018年夏
ベルゼブブ嬢のお気に召すまま。	2018年秋
Phantom in the Twilight	2018年夏
ソラとウミのアイダ	2018年秋
となりの吸血鬼さん	2018年秋
ひとりぼっちの○○生活	2019年春
千銃士	2018年夏
ハイスコアガール	2018年夏
ベイブレードバースト 超ゼツ	2018年春
パズドラ	2018年春
火ノ丸相撲	2018年秋
ムヒョとロージーの魔法律相談事務所	2018年夏
RErideD -刻越えのデリダ-	2018年秋
ヴィンランド・サガ	2019年夏
バビロン	2019年秋
どろろ (2019)	2019年冬
pet -ペット-	2020年冬
W'z《ウィズ》	2019年冬
ハッピーシュガーライフ	2018年夏
あかねさす少女	2018年秋
叛逆性ミリオンアーサー	2018年秋
天狼 Sirius the Jaeger	2018年夏
プラネット・ウィズ	2018年夏
デュエル・マスターズ！	2018年春
キャラとおたまじゃくし島	2018年春
DOUBLE DECKER! ダグ&キリル	2018年秋
音楽少女	2018年夏
色づく世界の明日から	2018年秋
京都寺町三条のホームズ	2018年夏
からくりサーカス	2018年秋
寄宿学校のジュリエット	2018年秋
青春ブタ野郎はバニーガール先輩の夢を見ない	2018年秋
百錬の覇王と聖約の戦乙女	2018年夏
転生したらスライムだった件	2018年秋
revisions リヴィジョンズ	2019年冬
キャロル&チューズデイ	2019年春
イングレス	2018年秋
若おかみは小学生！	2018年春
さらざんまい	2019年春
ぐらんぶる	2018年夏
あひるの空	2019年秋
ゾイドワイルド	2018年夏
メジャーセカンド	2018年春
あっくんとカノジョ	2018年春
ラストピリオド -終わりなき螺旋の物語-	2018年春
中間管理録トネガワ	2018年夏
立花館To Lieあんぐる	2018年春
ダンジョンに出会いを求めるのは間違っているだろうか II	2019年夏
甘い懲罰～私は看守専用ペット	2018年春
はねバド！	2018年夏
ガンダムビルドダイバーズ	2018年春
異世界魔王と召喚少女の奴隷魔術	2018年夏
ラディアン	2018年秋
RELEASE THE SPYCE	2018年秋
あそびあそばせ	2018年夏
アイカツフレンズ！	2018年春
キラッとプリ☆チャン	2018年春
鹿楓堂 よついろ日和	2018年春
魔法少女サイト	2018年春
こみっくがーるず	2018年春
七星のスバル	2018年夏
3D彼女 リアルガール	2018年春
はたらく細胞	2018年夏
賭ケグルイ××	2019年冬
鬼灯の冷徹 (第弐期その弐)	2018年春
Spiritpact-黄泉の契り-	2018年冬
ゆらぎ荘の幽奈さん	2018年夏
ISLAND (アイランド)	2018年夏
ひそねとまそたん	2018年春
SSSS.GRIDMAN	2018年秋
ありふれた職業で世界最強	2019年夏
邪神ちゃんドロップキック	2018年夏
魔法少女 俺	2018年春
七つの美徳	2018年冬
奴隷区 The Animation	2018年春
25歳の女子高生	2018年冬
Caligula -カリギュラ-	2018年春
すのはら荘の管理人さん	2018年夏
あまんちゅ！～あどばんす～	2018年春
かくりよの宿飯	2018年春
メルヘン・メドヘン	2018年冬
宇宙よりも遠い場所	2018年冬
たくのみ。	2018年冬
異世界居酒屋～古都アイテーリアの居酒屋のぶ～	2018年春
バジリスク ～桜花忍法帖～	2018年冬
ハクメイとミコチ	2018年冬
つくもがみ貸します	2018年夏
ツルネ ―風舞高校弓道部―	2018年秋
ハイスクールD×D HERO	2018年春
ピアノの森	2018年春
BANANA FISH	2018年夏
実験品家族 -クリーチャーズ・ファミリー・デイズ-	2018年春
重神機パンドーラ	2018年春
刻刻	2018年冬
りゅうおうのおしごと！	2018年冬
メガロボクス	2018年春
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン	2018年春
スタミュ (第3期)	2019年夏
ソードアート・オンライン アリシゼーション	2018年秋
新幹線変形ロボ シンカリオン THE ANIMATION	2018年冬
からかい上手の高木さん	2018年冬
多田くんは恋をしない	2018年春
ありすorありす	2018年春
学園ベビーシッターズ	2018年冬
デビルズライン	2018年春
ニル・アドミラリの天秤	2018年春
キリングバイツ	2018年冬
オーバーロードⅡ	2018年冬
BEATLESS ビートレス	2018年冬
カードファイト!! ヴァンガードGZ	2017年秋
賢者の孫	2019年春
ガイコツ書店員 本田さん	2018年秋
ワンパンマン (第2期)	2019年春
ユラユラすいぞくかん	2017年夏
aiseki MOGOL GIRL	2017年秋
ヒナまつり	2018年春
Butlers～千年百年物語～	2018年春
アイドリッシュセブン	2018年冬
ウマ娘 プリティーダービー	2018年春
宇宙戦艦ティラミス	2018年春
ピングー in ザ・シティ	2017年秋
ミイラの飼い方	2018年冬
弱虫ペダル GLORY LINE	2018年冬
ゆるキャン△	2018年冬
七つの大罪 戒めの復活 (第2期)	2018年冬
ダメプリ ANIME CARAVAN	2018年冬
スロウスタート	2018年冬
サンリオ男子	2018年冬
グランクレスト戦記	2018年冬
銀の墓守りII	2018年冬
あめこん!! (雨色ココア第4期)	2017年秋
食戟のソーマ 餐の皿	2017年秋
お見合い相手は教え子、強気な、問題児。	2017年秋
ヤマノススメ サードシーズン	2018年夏
牙狼<GARO> -VANISHING LINE-	2017年秋
PERSONA5 the Animation	2018年春
つうかあ	2017年秋
アイドルマスター シンデレラガールズ劇場 2nd SEASON	2017年秋
少女終末旅行	2017年秋
十二大戦	2017年秋
刀使ノ巫女	2018年冬
博多豚骨ラーメンズ	2018年冬
お酒は夫婦になってから	2017年秋
だがしかし2	2018年冬
デスマーチからはじまる異世界狂想曲	2018年冬
ゴールデンカムイ	2018年春
ネト充のススメ	2017年秋
このはな綺譚	2017年秋
王様ゲーム The Animation	2017年秋
三ツ星カラーズ	2018年冬
Wake Up, Girls！ 新章	2017年秋
TSUKIPRO THE ANIMATION	2017年秋
僕の彼女がマジメ過ぎるしょびっちな件	2017年秋
はるかなレシーブ	2018年夏
ブラッククローバー	2017年秋
戦刻ナイトブラッド	2017年秋
血界戦線 & BEYOND	2017年秋
